n_intervention (int), date (str), description (str), n_registre (int), nom_latin (str), n_puce (int)
214,5/2/2017,platre,7,Eunectes murinus,27
215,5/2/2017,operation,11,Canis lupus,19
216,5/2/2017,vaccin,1,Felis silvestris,12
217,5/2/2017,platre,27,Pan troglodytes,17
218,5/2/2017,platre,17,Falco peregrinus,28
219,5/2/2017,mise en quarantaine,28,Aptenodytes forsteri,7
220,5/2/2017,soins divers,29,Haliaeetus leucocephalus,6
221,6/2/2017,vaccin,17,Lynx rufus,20
222,6/2/2017,operation,4,Canis lupus,27
223,6/2/2017,vaccin,28,Ardea cinerea,21
224,6/2/2017,soins divers,12,Panthera uncia,23
225,6/2/2017,vaccin,3,Elephas maximus,31
226,6/2/2017,operation,26,Panthera leo,2
227,7/2/2017,vaccin,4,Eunectes murinus,25
228,7/2/2017,soins divers,27,Panthera tigris,15
229,7/2/2017,mise en quarantaine,27,Panthera pardus,5
230,8/2/2017,vaccin,29,Urocyon cinereoargenteus,13
231,9/2/2017,operation,1,Pan troglodytes,37
232,9/2/2017,operation,30,Equus caballus,14
233,10/2/2017,vaccin,16,Elephas maximus,8
234,10/2/2017,operation,17,Ardea cinerea,9
235,10/2/2017,soins divers,4,Panthera tigris,10
236,10/2/2017,operation,29,Panthera tigris,9
237,10/2/2017,mise en quarantaine,11,Struthio camelus,20
238,10/2/2017,vaccin,4,Ailurus fulgens,33
239,10/2/2017,platre,10,Lutra lutra,17
240,10/2/2017,platre,2,Elephas maximus,6
241,10/2/2017,platre,29,Bubo scandiacus,33
242,10/2/2017,mise en quarantaine,12,Bubo scandiacus,35
243,10/2/2017,soins divers,16,Ardea cinerea,29
244,10/2/2017,operation,28,Felis silvestris,20
245,10/2/2017,soins divers,17,Struthio camelus,10
246,10/2/2017,platre,1,Prunella modularis,4
247,10/2/2017,vaccin,26,Pan troglodytes,7
248,10/2/2017,platre,7,Canis lupus,17
249,10/2/2017,operation,1,Aptenodytes forsteri,38
250,10/2/2017,vaccin,26,Cervus canadensis,6
251,10/2/2017,platre,16,Prunella modularis,3
252,10/2/2017,operation,16,Cervus canadensis,6
253,10/2/2017,soins divers,4,Pan troglodytes,26
254,10/2/2017,soins divers,2,Elephas maximus,5
255,10/2/2017,vaccin,29,Panthera leo,37
256,10/2/2017,vaccin,26,Aptenodytes forsteri,37
257,10/2/2017,operation,26,Hippopotamus amphibius,25
258,10/2/2017,soins divers,17,Ailurus fulgens,10
259,10/2/2017,operation,25,Prunella modularis,4
260,10/2/2017,soins divers,2,Prunella modularis,11
261,10/2/2017,vaccin,11,Elephas maximus,28
262,10/2/2017,operation,10,Bubo scandiacus,24
263,11/2/2017,vaccin,28,Hippopotamus amphibius,13
264,12/2/2017,mise en quarantaine,1,Loxodonta africana,20
265,12/2/2017,operation,28,Ailurus fulgens,36
266,12/2/2017,soins divers,29,Panthera uncia,13
267,13/2/2017,mise en quarantaine,19,Lutra lutra,12
268,13/2/2017,platre,7,Canis lupus,27
269,13/2/2017,vaccin,19,Aptenodytes forsteri,18
270,13/2/2017,mise en quarantaine,7,Bubo scandiacus,35
271,13/2/2017,operation,27,Equus caballus,30
272,13/2/2017,platre,11,Ailurus fulgens,36
273,13/2/2017,operation,29,Lynx rufus,8
274,13/2/2017,platre,10,Struthio camelus,11
275,14/2/2017,operation,25,Panthera tigris,13
276,15/2/2017,soins divers,30,Ailurus fulgens,2
277,15/2/2017,vaccin,17,Lutra lutra,25
278,15/2/2017,mise en quarantaine,12,Rangifer tarandus,1
279,15/2/2017,vaccin,4,Urocyon cinereoargenteus,3
280,15/2/2017,platre,30,Aptenodytes forsteri,8
281,15/2/2017,vaccin,25,Ailurus fulgens,17
282,15/2/2017,vaccin,16,Struthio camelus,43
283,15/2/2017,vaccin,2,Haliaeetus leucocephalus,12
284,16/2/2017,platre,30,Haliaeetus leucocephalus,14
285,16/2/2017,operation,28,Giraffa camelopardalis,7
286,16/2/2017,mise en quarantaine,11,Ailuropoda melanoleuca,20
287,17/2/2017,vaccin,28,Rangifer tarandus,22
288,17/2/2017,mise en quarantaine,27,Panthera leo,13
289,17/2/2017,vaccin,3,Pongo pygmaeus,1
290,17/2/2017,mise en quarantaine,1,Eunectes murinus,15
291,17/2/2017,soins divers,11,Aptenodytes forsteri,38
292,17/2/2017,platre,7,Bubo scandiacus,29
293,17/2/2017,mise en quarantaine,17,Bubo scandiacus,29
294,17/2/2017,soins divers,3,Lynx rufus,16
295,17/2/2017,vaccin,10,Hippopotamus amphibius,34
296,17/2/2017,mise en quarantaine,30,Lutra lutra,21
297,17/2/2017,vaccin,7,Falco peregrinus,8
298,17/2/2017,mise en quarantaine,1,Ailurus fulgens,36
299,17/2/2017,soins divers,25,Lynx rufus,19
300,17/2/2017,vaccin,17,Ailuropoda melanoleuca,13
301,17/2/2017,platre,4,Eunectes murinus,27
302,17/2/2017,soins divers,16,Lynx rufus,20
303,17/2/2017,vaccin,4,Lutra lutra,9
304,17/2/2017,soins divers,12,Urocyon cinereoargenteus,26
305,17/2/2017,platre,28,Urocyon cinereoargenteus,24
306,17/2/2017,mise en quarantaine,17,Urocyon cinereoargenteus,31
307,17/2/2017,vaccin,25,Bubo scandiacus,18
308,17/2/2017,mise en quarantaine,30,Panthera leo,38
309,17/2/2017,soins divers,30,Pan troglodytes,30
310,17/2/2017,operation,30,Urocyon cinereoargenteus,14
311,17/2/2017,mise en quarantaine,26,Struthio camelus,34
312,18/2/2017,operation,1,Panthera leo,34
313,18/2/2017,operation,1,Canis lupus,17
314,18/2/2017,platre,19,Lynx rufus,11
315,18/2/2017,mise en quarantaine,7,Panthera tigris,13
316,19/2/2017,mise en quarantaine,17,Ailuropoda melanoleuca,19
317,19/2/2017,operation,11,Eunectes murinus,26
318,19/2/2017,mise en quarantaine,25,Pan troglodytes,9
319,20/2/2017,vaccin,27,Panthera leo,27
320,20/2/2017,mise en quarantaine,29,Pan troglodytes,5
321,20/2/2017,vaccin,26,Ardea cinerea,8
322,21/2/2017,operation,29,Panthera tigris,3
323,21/2/2017,mise en quarantaine,12,Panthera tigris,2
324,21/2/2017,vaccin,27,Canis lupus,19
325,21/2/2017,soins divers,28,Giraffa camelopardalis,6
326,21/2/2017,operation,2,Panthera leo,7
327,21/2/2017,vaccin,12,Equus caballus,29
328,21/2/2017,platre,4,Pan troglodytes,7
329,21/2/2017,operation,29,Bubo scandiacus,31
330,21/2/2017,vaccin,19,Canis dingo,12
331,22/2/2017,mise en quarantaine,28,Eunectes murinus,6
332,22/2/2017,platre,10,Canis dingo,3
333,22/2/2017,mise en quarantaine,4,Pongo pygmaeus,3
334,22/2/2017,mise en quarantaine,7,Canis lupus,24
335,22/2/2017,mise en quarantaine,7,Giraffa camelopardalis,7
336,22/2/2017,platre,10,Eunectes murinus,27
337,22/2/2017,vaccin,28,Ailurus fulgens,37
338,22/2/2017,vaccin,27,Pongo pygmaeus,2
339,23/2/2017,platre,29,Elephas maximus,34
340,23/2/2017,vaccin,17,Elephas maximus,17
341,23/2/2017,operation,17,Hippopotamus amphibius,23
342,23/2/2017,operation,1,Aptenodytes forsteri,45
343,23/2/2017,mise en quarantaine,16,Canis dingo,1
344,23/2/2017,soins divers,12,Ardea cinerea,17
345,23/2/2017,platre,10,Panthera uncia,23
346,23/2/2017,platre,2,Falco peregrinus,9
347,23/2/2017,platre,2,Falco peregrinus,7
348,24/2/2017,platre,4,Eunectes murinus,15
349,24/2/2017,operation,27,Panthera tigris,23
350,25/2/2017,mise en quarantaine,27,Panthera uncia,2
351,25/2/2017,platre,17,Urocyon cinereoargenteus,3
352,25/2/2017,mise en quarantaine,28,Ursus maritimus,9
353,25/2/2017,mise en quarantaine,28,Haliaeetus leucocephalus,27
354,25/2/2017,vaccin,19,Cervus canadensis,24
355,26/2/2017,platre,4,Elephas maximus,36
356,26/2/2017,mise en quarantaine,26,Hippopotamus amphibius,24
357,26/2/2017,vaccin,11,Panthera leo,19
358,27/2/2017,soins divers,4,Panthera pardus,4
359,27/2/2017,platre,12,Falco peregrinus,10
360,28/2/2017,mise en quarantaine,16,Aptenodytes forsteri,45
361,28/2/2017,mise en quarantaine,10,Struthio camelus,11
362,1/3/2017,vaccin,30,Pan troglodytes,34
363,1/3/2017,vaccin,25,Ursus maritimus,6
364,1/3/2017,soins divers,12,Hippopotamus amphibius,2
365,2/3/2017,mise en quarantaine,3,Lutra lutra,27
366,3/3/2017,soins divers,4,Struthio camelus,1
367,3/3/2017,mise en quarantaine,17,Haliaeetus leucocephalus,8
368,3/3/2017,operation,4,Canis dingo,18
369,3/3/2017,mise en quarantaine,11,Pan troglodytes,27
370,3/3/2017,vaccin,12,Aptenodytes forsteri,19
371,4/3/2017,operation,12,Urocyon cinereoargenteus,11
372,4/3/2017,soins divers,29,Falco peregrinus,15
373,4/3/2017,platre,2,Rangifer tarandus,3
374,4/3/2017,soins divers,27,Ailurus fulgens,17
375,4/3/2017,soins divers,26,Canis lupus,19
376,4/3/2017,platre,12,Pongo pygmaeus,37
377,5/3/2017,mise en quarantaine,29,Elephas maximus,15
378,5/3/2017,soins divers,2,Lynx rufus,9
379,5/3/2017,soins divers,1,Ailurus fulgens,21
380,5/3/2017,operation,19,Falco peregrinus,15
381,5/3/2017,mise en quarantaine,11,Felis silvestris,25
382,5/3/2017,mise en quarantaine,25,Urocyon cinereoargenteus,20
383,6/3/2017,soins divers,19,Struthio camelus,36
384,6/3/2017,vaccin,17,Eunectes murinus,21
385,6/3/2017,mise en quarantaine,26,Panthera uncia,24
386,6/3/2017,operation,1,Ardea cinerea,17
387,6/3/2017,mise en quarantaine,12,Falco peregrinus,28
388,6/3/2017,platre,25,Pongo pygmaeus,1
389,6/3/2017,mise en quarantaine,25,Ursus maritimus,18
390,6/3/2017,vaccin,10,Panthera leo,40
391,7/3/2017,vaccin,30,Urocyon cinereoargenteus,24
392,7/3/2017,operation,4,Struthio camelus,24
393,7/3/2017,mise en quarantaine,11,Eunectes murinus,4
394,7/3/2017,platre,1,Giraffa camelopardalis,7
395,7/3/2017,mise en quarantaine,1,Pan troglodytes,23
396,7/3/2017,platre,26,Struthio camelus,26
397,7/3/2017,vaccin,4,Urocyon cinereoargenteus,12
398,7/3/2017,vaccin,16,Ailuropoda melanoleuca,14
399,7/3/2017,soins divers,30,Urocyon cinereoargenteus,12
400,7/3/2017,platre,19,Struthio camelus,18
401,7/3/2017,operation,12,Falco peregrinus,10
402,7/3/2017,platre,1,Rangifer tarandus,23
403,7/3/2017,mise en quarantaine,26,Pongo pygmaeus,33
404,7/3/2017,mise en quarantaine,3,Canis lupus,11
405,7/3/2017,vaccin,16,Pongo pygmaeus,24
406,7/3/2017,vaccin,25,Ailurus fulgens,29
407,7/3/2017,platre,27,Ailurus fulgens,36
408,8/3/2017,soins divers,16,Ardea cinerea,35
409,8/3/2017,vaccin,19,Panthera leo,5
410,8/3/2017,mise en quarantaine,27,Falco peregrinus,24
411,8/3/2017,soins divers,28,Panthera uncia,4
412,8/3/2017,mise en quarantaine,2,Giraffa camelopardalis,22
413,9/3/2017,operation,11,Panthera leo,44
414,9/3/2017,operation,16,Cervus canadensis,27
415,9/3/2017,operation,1,Panthera uncia,15
416,9/3/2017,operation,3,Prunella modularis,9
417,9/3/2017,operation,2,Bubo scandiacus,33
418,9/3/2017,mise en quarantaine,16,Pongo pygmaeus,24
419,9/3/2017,platre,19,Pongo pygmaeus,24
420,9/3/2017,vaccin,25,Felis silvestris,17
421,9/3/2017,platre,19,Hippopotamus amphibius,19
422,9/3/2017,vaccin,27,Pan troglodytes,39
423,9/3/2017,platre,26,Pongo pygmaeus,8
424,10/3/2017,operation,12,Ailurus fulgens,20
425,10/3/2017,soins divers,26,Panthera pardus,5
426,10/3/2017,soins divers,17,Cervus canadensis,5
427,10/3/2017,soins divers,1,Lutra lutra,10
428,10/3/2017,operation,12,Panthera pardus,4
429,11/3/2017,soins divers,16,Prunella modularis,18
430,11/3/2017,mise en quarantaine,4,Panthera leo,6
431,11/3/2017,operation,12,Ursus maritimus,19
432,11/3/2017,platre,30,Canis dingo,30
433,11/3/2017,platre,25,Pan troglodytes,3
434,11/3/2017,vaccin,1,Aptenodytes forsteri,48
435,12/3/2017,platre,28,Pan troglodytes,39
436,12/3/2017,operation,10,Loxodonta africana,20
437,13/3/2017,platre,26,Panthera uncia,3
438,13/3/2017,platre,25,Struthio camelus,13
439,14/3/2017,mise en quarantaine,17,Canis lupus,19
440,14/3/2017,mise en quarantaine,26,Ailurus fulgens,28
441,14/3/2017,soins divers,11,Canis lupus,22
442,15/3/2017,mise en quarantaine,4,Elephas maximus,31
443,15/3/2017,operation,1,Rangifer tarandus,24
444,15/3/2017,operation,11,Haliaeetus leucocephalus,27
445,15/3/2017,vaccin,4,Ardea cinerea,36
446,15/3/2017,vaccin,27,Ailurus fulgens,2
447,15/3/2017,mise en quarantaine,27,Canis lupus,10
448,15/3/2017,platre,27,Bubo scandiacus,31
449,15/3/2017,platre,29,Ursus maritimus,9
450,15/3/2017,mise en quarantaine,29,Rangifer tarandus,9
451,15/3/2017,mise en quarantaine,2,Urocyon cinereoargenteus,24
452,15/3/2017,soins divers,30,Cervus canadensis,28
453,16/3/2017,soins divers,29,Felis silvestris,22
454,16/3/2017,mise en quarantaine,25,Bubo scandiacus,4
455,16/3/2017,mise en quarantaine,19,Panthera tigris,3
456,16/3/2017,mise en quarantaine,28,Loxodonta africana,17
457,16/3/2017,vaccin,7,Ardea cinerea,10
458,16/3/2017,vaccin,7,Eunectes murinus,2
459,16/3/2017,vaccin,17,Lynx rufus,9
460,16/3/2017,platre,28,Equus caballus,25
461,17/3/2017,vaccin,26,Ailurus fulgens,19
462,17/3/2017,platre,26,Felis silvestris,15
463,17/3/2017,vaccin,19,Bubo scandiacus,35
464,17/3/2017,vaccin,12,Falco peregrinus,22
465,17/3/2017,mise en quarantaine,7,Ursus maritimus,21
466,18/3/2017,operation,30,Hippopotamus amphibius,17
467,18/3/2017,soins divers,7,Prunella modularis,3
468,19/3/2017,operation,12,Ardea cinerea,11
469,19/3/2017,soins divers,12,Panthera tigris,12
470,19/3/2017,vaccin,19,Equus caballus,36
471,19/3/2017,mise en quarantaine,26,Eunectes murinus,15
472,20/3/2017,operation,19,Canis dingo,4
473,20/3/2017,operation,19,Panthera uncia,24
474,20/3/2017,mise en quarantaine,28,Ardea cinerea,41
475,20/3/2017,soins divers,3,Panthera leo,6
476,20/3/2017,soins divers,29,Hippopotamus amphibius,9
477,20/3/2017,soins divers,30,Struthio camelus,25
478,20/3/2017,platre,28,Urocyon cinereoargenteus,13
479,21/3/2017,operation,12,Elephas maximus,15
480,21/3/2017,operation,7,Bubo scandiacus,35
481,21/3/2017,operation,12,Struthio camelus,7
482,21/3/2017,vaccin,28,Rangifer tarandus,28
483,21/3/2017,platre,25,Cervus canadensis,25
484,21/3/2017,platre,16,Panthera leo,41
485,21/3/2017,soins divers,7,Pongo pygmaeus,8
486,21/3/2017,vaccin,25,Panthera leo,27
487,21/3/2017,vaccin,28,Panthera tigris,20
488,21/3/2017,mise en quarantaine,4,Cervus canadensis,14
489,21/3/2017,mise en quarantaine,16,Ardea cinerea,8
490,22/3/2017,vaccin,26,Ailuropoda melanoleuca,27
491,23/3/2017,platre,12,Canis dingo,28
492,24/3/2017,vaccin,10,Falco peregrinus,13
493,24/3/2017,operation,11,Ailurus fulgens,36
494,25/3/2017,soins divers,11,Ailurus fulgens,32
495,26/3/2017,soins divers,19,Eunectes murinus,1
496,26/3/2017,soins divers,17,Falco peregrinus,26
497,26/3/2017,vaccin,16,Lynx rufus,2
498,26/3/2017,soins divers,29,Ardea cinerea,35
499,26/3/2017,platre,25,Eunectes murinus,7
500,27/3/2017,mise en quarantaine,17,Falco peregrinus,17
501,27/3/2017,platre,10,Rangifer tarandus,16
502,27/3/2017,soins divers,26,Panthera leo,5
503,28/3/2017,soins divers,28,Panthera leo,41
504,28/3/2017,vaccin,16,Ursus maritimus,26
