nom_scientifique (str), n_puce (int), taille (int), sexe (str), date_naissance (str), n_enclos (int)
Canis lupus,10,1053,F,9/1/2016,19
Eunectes murinus,5,368,F,17/6/2014,26
Felis silvestris,9,1208,F,3/7/2010,16
Panthera uncia,12,939,M,2/11/2015,1
Giraffa camelopardalis,11,1769,F,12/8/2014,23
Prunella modularis,6,355,M,25/7/2015,8
Aptenodytes forsteri,14,1928,F,24/7/2013,42
Panthera leo,10,1471,M,24/1/2013,23
Pongo pygmaeus,11,1412,F,2/11/2014,38
Struthio camelus,14,399,M,14/11/2011,47
Lutra lutra,8,607,F,2/1/2016,4
Falco peregrinus,5,1751,F,5/3/2010,19
Bubo scandiacus,9,282,M,17/11/2010,25
Lutra lutra,9,739,M,13/5/2016,22
Panthera leo,11,1789,F,19/1/2012,5
Ardea cinerea,10,1474,F,6/5/2014,25
Canis dingo,5,786,F,10/6/2016,10
Panthera leo,12,434,F,18/7/2016,23
Loxodonta africana,5,577,M,27/11/2010,50
Ardea cinerea,11,334,F,18/7/2010,49
Panthera uncia,13,1828,M,16/10/2013,27
Aptenodytes forsteri,15,1726,F,8/8/2012,18
Elephas maximus,12,1799,F,26/2/2010,26
Cervus canadensis,7,881,F,11/1/2010,25
Pongo pygmaeus,12,567,M,26/11/2016,14
Lynx rufus,9,1870,M,1/12/2015,13
Equus caballus,4,1115,M,12/3/2011,10
Canis dingo,6,1061,F,6/3/2016,1
Ardea cinerea,12,1732,F,6/5/2013,1
Ursus maritimus,12,1303,M,10/11/2016,24
Panthera leo,13,298,M,16/12/2012,41
Panthera pardus,6,1725,F,20/3/2014,23
Panthera tigris,6,774,F,21/1/2011,14
Lutra lutra,10,1786,F,14/4/2011,49
Ardea cinerea,13,1579,F,14/7/2014,43
Panthera pardus,7,285,M,1/9/2012,44
Elephas maximus,13,1014,F,22/7/2016,44
Cervus canadensis,8,1867,F,26/2/2015,43
Hippopotamus amphibius,13,1059,F,3/1/2013,47
Pongo pygmaeus,13,703,M,20/8/2016,44
Struthio camelus,15,1461,F,8/6/2013,41
Lynx rufus,10,733,M,6/5/2013,43
Falco peregrinus,6,1152,M,20/10/2015,39
Canis dingo,7,1289,F,23/3/2016,17
Equus caballus,5,1591,F,19/2/2015,4
Rangifer tarandus,12,1051,M,15/4/2013,22
Urocyon cinereoargenteus,11,864,M,27/4/2011,30
Lynx rufus,11,704,M,8/8/2016,13
Equus caballus,6,970,M,19/5/2010,28
Urocyon cinereoargenteus,12,1293,M,15/9/2013,11
Prunella modularis,7,885,F,21/7/2014,4
Bubo scandiacus,10,565,F,17/3/2010,25
Felis silvestris,10,1426,F,10/8/2015,49
Panthera pardus,8,985,M,26/12/2015,23
Urocyon cinereoargenteus,13,1325,F,21/11/2015,2
Giraffa camelopardalis,12,1025,M,9/5/2010,5
Lynx rufus,12,1163,M,11/4/2013,13
Prunella modularis,8,1426,M,10/11/2010,37
Panthera leo,14,936,F,26/6/2011,29
Felis silvestris,11,382,F,9/2/2016,40
Hippopotamus amphibius,14,267,M,14/1/2010,16
Struthio camelus,16,1079,F,1/9/2015,40
Falco peregrinus,7,488,M,11/8/2016,27
Felis silvestris,12,222,F,12/4/2011,7
Lynx rufus,13,901,F,24/1/2014,31
Ailurus fulgens,10,981,F,13/5/2010,39
Panthera pardus,9,275,F,25/4/2014,8
Ailuropoda melanoleuca,10,238,F,23/12/2014,9
Giraffa camelopardalis,13,801,F,27/5/2015,11
Panthera leo,15,1923,F,25/4/2012,38
Bubo scandiacus,11,1261,F,12/6/2011,4
Prunella modularis,9,1765,F,4/2/2015,49
Aptenodytes forsteri,16,729,F,9/10/2014,6
Haliaeetus leucocephalus,8,146,F,12/6/2014,43
Panthera uncia,14,542,M,20/11/2012,31
Prunella modularis,10,1071,F,13/4/2016,1
Lutra lutra,11,695,F,9/8/2011,1
Hippopotamus amphibius,15,1713,M,16/11/2015,16
Urocyon cinereoargenteus,14,272,F,6/2/2016,43
Loxodonta africana,6,492,F,12/7/2012,35
Loxodonta africana,7,1966,M,11/12/2012,26
Ursus maritimus,13,579,F,12/12/2011,48
Canis lupus,11,1252,M,20/1/2013,31
Giraffa camelopardalis,14,582,F,23/11/2015,46
Panthera leo,16,1214,F,18/3/2010,41
Pan troglodytes,5,255,F,8/6/2014,32
Ursus maritimus,14,627,M,4/9/2011,6
Aptenodytes forsteri,17,1380,M,20/1/2012,6
Urocyon cinereoargenteus,15,1415,F,22/4/2012,40
Urocyon cinereoargenteus,16,1600,M,5/9/2011,19
Haliaeetus leucocephalus,9,1498,M,8/4/2013,9
Equus caballus,7,1750,F,20/3/2011,28
Urocyon cinereoargenteus,17,855,F,19/9/2016,22
Lutra lutra,12,275,M,23/3/2016,22
Canis dingo,8,713,F,14/8/2013,16
Pongo pygmaeus,14,346,M,20/9/2010,4
Urocyon cinereoargenteus,18,864,M,9/11/2015,34
Felis silvestris,13,1952,F,18/7/2012,28
Panthera leo,17,1934,F,21/8/2012,44
Pongo pygmaeus,15,1971,M,5/6/2011,20
Lutra lutra,13,1174,M,13/12/2010,49
Elephas maximus,14,1767,F,26/8/2012,50
Rangifer tarandus,13,169,F,10/12/2012,40
Equus caballus,8,605,M,7/10/2011,22
Pongo pygmaeus,16,1921,M,1/9/2015,14
Prunella modularis,11,996,M,15/1/2011,46
Canis lupus,12,919,M,19/5/2014,25
Felis silvestris,14,213,M,24/12/2016,46
Giraffa camelopardalis,15,1791,F,11/4/2014,17
Ardea cinerea,14,274,M,5/10/2010,22
Canis lupus,13,1218,M,15/12/2013,31
Elephas maximus,15,167,F,27/1/2011,2
Aptenodytes forsteri,18,1435,F,24/1/2016,30
Elephas maximus,16,612,F,11/6/2011,20
Elephas maximus,17,957,F,19/1/2016,8
Aptenodytes forsteri,19,849,F,9/4/2010,18
Bubo scandiacus,12,659,F,21/11/2011,31
Canis dingo,9,981,M,27/10/2013,37
Rangifer tarandus,14,981,M,7/3/2016,4
Struthio camelus,17,732,F,15/5/2010,17
Panthera pardus,10,1352,F,2/8/2012,50
Struthio camelus,18,1912,M,27/3/2011,16
Eunectes murinus,6,1403,F,14/7/2011,32
Prunella modularis,12,1524,F,23/7/2011,31
Struthio camelus,19,1514,M,10/7/2016,17
Prunella modularis,13,1422,M,21/1/2015,43
Prunella modularis,14,1099,M,1/11/2011,13
Ardea cinerea,15,1495,M,3/8/2013,43
Aptenodytes forsteri,20,632,F,7/1/2014,6
Lutra lutra,14,971,M,26/9/2016,37
Loxodonta africana,8,644,M,1/4/2011,41
Canis lupus,14,1529,F,17/8/2010,13
Cervus canadensis,9,966,M,17/3/2016,19
Pongo pygmaeus,17,1354,F,25/4/2011,14
Ursus maritimus,15,1791,F,22/5/2014,20
Panthera pardus,11,780,M,20/6/2010,2
Struthio camelus,20,816,F,6/11/2010,5
Haliaeetus leucocephalus,10,1396,F,21/6/2013,22
Panthera uncia,15,1022,F,7/5/2015,36
Equus caballus,9,934,F,6/12/2010,10
Giraffa camelopardalis,16,853,F,1/5/2015,23
Felis silvestris,15,1536,F,2/11/2015,25
Panthera leo,18,1706,F,16/10/2015,11
Aptenodytes forsteri,21,672,F,15/3/2013,36
Aptenodytes forsteri,22,1519,F,23/2/2015,30
Panthera leo,19,1031,M,25/9/2012,17
Lutra lutra,15,567,F,1/11/2015,10
Hippopotamus amphibius,16,1388,M,27/3/2014,4
Pan troglodytes,6,1730,M,5/7/2016,32
Cervus canadensis,10,488,F,1/6/2015,31
Felis silvestris,16,1924,F,16/5/2015,13
Panthera leo,20,349,F,18/5/2016,2
Struthio camelus,21,1760,F,23/10/2013,10
Pongo pygmaeus,18,365,F,13/8/2012,2
Urocyon cinereoargenteus,19,1064,F,17/7/2010,1
Struthio camelus,22,1977,F,7/6/2015,17
Hippopotamus amphibius,17,640,F,2/3/2012,40
Bubo scandiacus,13,1051,F,12/10/2016,43
Elephas maximus,18,1500,M,24/3/2015,2
Rangifer tarandus,15,272,F,26/8/2012,31
Panthera leo,21,533,M,19/2/2016,35
Panthera uncia,16,1561,M,1/12/2015,15
Panthera leo,22,1695,F,9/2/2014,22
Urocyon cinereoargenteus,20,1453,F,22/7/2014,28
Ardea cinerea,16,1626,M,27/11/2011,37
Pan troglodytes,7,960,F,25/8/2014,32
Panthera tigris,7,808,M,4/6/2014,41
Equus caballus,10,620,F,12/12/2015,4
Pongo pygmaeus,19,914,F,19/11/2012,2
Pan troglodytes,8,1860,F,10/11/2011,26
Elephas maximus,19,277,F,5/1/2014,44
Ailurus fulgens,11,1810,F,2/5/2010,2
Pan troglodytes,9,699,M,2/4/2013,44
Elephas maximus,20,1621,F,2/8/2011,26
Felis silvestris,17,1362,F,2/3/2016,16
Pan troglodytes,10,1205,M,19/10/2012,8
Elephas maximus,21,1387,M,11/7/2011,44
Panthera uncia,17,1010,M,18/6/2014,27
Falco peregrinus,8,577,F,2/8/2014,37
Canis lupus,15,1393,F,2/10/2013,37
Aptenodytes forsteri,23,1316,M,19/3/2014,42
Pongo pygmaeus,20,368,F,27/12/2012,32
Equus caballus,11,608,F,11/7/2011,10
Panthera uncia,18,160,M,5/12/2014,43
Urocyon cinereoargenteus,21,645,F,14/11/2014,22
Loxodonta africana,9,1043,F,23/11/2016,41
Ailurus fulgens,12,260,M,5/3/2010,37
Elephas maximus,22,1108,M,24/2/2016,42
Canis lupus,16,484,F,4/10/2012,13
Giraffa camelopardalis,17,1997,F,4/9/2012,17
Lutra lutra,16,432,F,2/2/2016,31
Equus caballus,12,653,F,2/7/2011,10
Falco peregrinus,9,1601,M,10/12/2015,43
Canis dingo,10,1605,M,20/8/2010,35
Struthio camelus,23,921,M,4/2/2010,46
Bubo scandiacus,14,1820,M,3/10/2015,9
Bubo scandiacus,15,1680,F,8/6/2014,7
Panthera tigris,8,1293,M,21/3/2011,26
Felis silvestris,18,266,M,20/12/2014,28
Haliaeetus leucocephalus,11,1786,F,14/9/2013,3
Cervus canadensis,11,416,F,10/10/2012,40
Panthera leo,23,470,M,10/7/2015,38
Canis dingo,11,1436,M,21/1/2011,31
Panthera leo,24,928,M,24/11/2013,35
Pan troglodytes,11,1049,M,3/12/2013,11
Felis silvestris,19,1071,F,7/7/2012,1
Eunectes murinus,7,1784,F,21/1/2011,31
Eunectes murinus,8,229,M,11/12/2010,50
Hippopotamus amphibius,18,306,F,2/11/2015,16
Elephas maximus,23,344,M,5/11/2015,2
Panthera uncia,19,1789,M,27/5/2010,3
Elephas maximus,24,1496,M,19/9/2012,20
Elephas maximus,25,1999,M,23/12/2012,26
Panthera tigris,9,1730,M,21/11/2010,32
Loxodonta africana,10,1926,F,24/6/2011,14
Canis dingo,12,1166,M,4/5/2014,13
Pan troglodytes,12,360,F,5/1/2012,50
Lutra lutra,17,1859,M,27/1/2016,31
Pongo pygmaeus,21,1409,M,12/5/2010,38
Struthio camelus,24,731,M,19/6/2011,35
Giraffa camelopardalis,18,1869,F,24/4/2016,5
Cervus canadensis,12,1892,F,7/11/2010,34
Lutra lutra,18,350,M,9/7/2011,10
Falco peregrinus,10,232,F,5/9/2011,4
Cervus canadensis,13,598,F,13/5/2015,25
Canis dingo,13,659,F,22/4/2011,46
Panthera leo,25,1071,F,16/1/2010,26
Panthera uncia,20,497,M,4/5/2011,1
Loxodonta africana,11,594,M,13/2/2012,41
Eunectes murinus,9,1222,M,23/1/2013,31
Pan troglodytes,13,1494,F,26/8/2010,44
Pan troglodytes,14,1195,F,25/5/2012,26
Struthio camelus,25,1814,M,25/10/2015,5
Struthio camelus,26,646,M,26/3/2012,40
Lutra lutra,19,1679,F,23/3/2010,13
Falco peregrinus,11,1597,M,7/12/2014,7
Prunella modularis,15,1638,F,20/6/2010,25
Ursus maritimus,16,158,M,23/3/2015,6
Ardea cinerea,17,1565,F,19/10/2012,13
Prunella modularis,16,146,F,1/9/2010,40
Falco peregrinus,12,852,M,7/10/2016,21
Lutra lutra,20,1645,F,14/8/2014,28
Pan troglodytes,15,864,M,11/3/2013,14
Pan troglodytes,16,160,F,7/8/2016,44
Ursus maritimus,17,970,M,23/2/2014,30
Hippopotamus amphibius,19,1836,F,4/3/2012,18
Ursus maritimus,18,1063,F,27/6/2015,42
Haliaeetus leucocephalus,12,850,M,14/3/2010,1
Loxodonta africana,12,365,F,21/3/2016,44
Panthera leo,26,1689,F,21/2/2014,35
Hippopotamus amphibius,20,308,F,1/4/2016,4
Giraffa camelopardalis,19,726,M,23/3/2011,11
Urocyon cinereoargenteus,22,1843,M,15/8/2012,40
Pan troglodytes,17,1043,M,1/9/2014,8
Falco peregrinus,13,818,F,19/4/2016,4
Struthio camelus,27,1006,M,8/2/2016,5
Ardea cinerea,18,160,F,7/5/2013,37
Ardea cinerea,19,1876,F,9/10/2010,43
Rangifer tarandus,16,910,M,9/10/2014,19
Panthera pardus,12,151,F,23/2/2011,32
Ailuropoda melanoleuca,11,570,F,4/8/2016,44
Pan troglodytes,18,608,F,27/1/2013,50
Ailurus fulgens,13,525,M,7/7/2016,38
Cervus canadensis,14,1240,F,3/5/2010,7
Lynx rufus,14,775,F,7/1/2011,27
Ardea cinerea,20,1014,F,1/8/2012,22
Haliaeetus leucocephalus,13,1804,F,27/11/2012,4
Ardea cinerea,21,1715,F,19/12/2014,49
Felis silvestris,20,1451,F,7/7/2011,34
Struthio camelus,28,1416,F,5/2/2013,46
Aptenodytes forsteri,24,1429,F,27/4/2016,18
Ailurus fulgens,14,1884,M,2/8/2014,21
Panthera leo,27,1730,F,14/11/2016,11
Panthera tigris,10,176,M,3/12/2012,8
Hippopotamus amphibius,21,1851,F,24/5/2013,10
Ailurus fulgens,15,921,F,21/8/2015,37
Ursus maritimus,19,687,F,6/9/2015,6
Ursus maritimus,20,1192,F,6/5/2016,12
Pan troglodytes,19,1698,M,21/10/2014,38
Lynx rufus,15,1727,F,10/8/2015,13
Pongo pygmaeus,22,521,M,26/5/2014,26
Equus caballus,13,830,M,13/8/2013,40
Struthio camelus,29,826,F,13/8/2011,28
Eunectes murinus,10,623,M,14/1/2012,50
Ardea cinerea,22,515,F,13/4/2016,31
Ailuropoda melanoleuca,12,548,M,17/7/2015,27
Panthera uncia,21,612,M,22/9/2015,42
Haliaeetus leucocephalus,14,1875,F,5/11/2012,15
Bubo scandiacus,16,1493,F,22/11/2014,18
Elephas maximus,26,173,F,3/10/2015,50
Struthio camelus,30,1341,F,14/9/2015,5
Canis lupus,17,1632,F,12/7/2015,31
Eunectes murinus,11,1817,M,1/8/2013,7
Canis lupus,18,148,F,20/7/2013,31
Ailurus fulgens,16,1238,F,19/5/2010,8
Equus caballus,14,856,F,20/9/2011,40
Panthera leo,28,239,F,1/4/2012,5
Eunectes murinus,12,1493,M,22/12/2014,38
Falco peregrinus,14,1841,M,16/8/2010,4
Rangifer tarandus,17,1997,F,3/10/2015,49
Aptenodytes forsteri,25,324,F,10/3/2011,6
Rangifer tarandus,18,505,F,11/6/2013,7
Panthera leo,29,108,F,16/2/2015,17
Pongo pygmaeus,23,1893,F,7/2/2015,8
Haliaeetus leucocephalus,15,1160,F,26/11/2010,13
Equus caballus,15,1051,M,1/4/2014,4
Eunectes murinus,13,1141,M,9/3/2012,38
Pan troglodytes,20,1811,M,21/1/2012,44
Panthera uncia,22,1564,M,23/1/2011,9
Felis silvestris,21,1138,M,4/12/2013,16
Urocyon cinereoargenteus,23,135,F,1/2/2016,19
Loxodonta africana,13,1958,F,25/10/2016,14
Loxodonta africana,14,1110,M,2/3/2015,20
Equus caballus,16,284,M,23/3/2013,34
Eunectes murinus,14,874,M,7/6/2012,26
Bubo scandiacus,17,858,M,27/2/2010,45
Elephas maximus,27,811,M,16/1/2010,26
Ailurus fulgens,17,957,M,6/8/2016,1
Ursus maritimus,21,1562,F,23/6/2011,18
