n_entretien (int), n_registre (int), n_materiel (int), date (str), n_enclos (int)
67,24,22,19/1/2017,45
68,18,23,20/1/2017,40
69,9,20,21/1/2017,44
70,5,25,21/1/2017,16
71,8,22,21/1/2017,35
72,23,36,21/1/2017,18
73,14,43,22/1/2017,8
74,15,17,23/1/2017,27
75,22,13,23/1/2017,46
76,22,36,24/1/2017,11
77,8,23,24/1/2017,34
78,22,42,25/1/2017,42
79,24,48,25/1/2017,47
80,6,15,26/1/2017,33
81,21,11,27/1/2017,22
82,6,49,27/1/2017,44
83,24,20,27/1/2017,36
84,14,2,27/1/2017,15
85,14,32,27/1/2017,28
86,21,39,27/1/2017,49
87,21,4,28/1/2017,48
88,6,22,28/1/2017,7
89,13,24,28/1/2017,48
90,23,26,1/2/2017,42
91,23,40,2/2/2017,5
92,20,26,2/2/2017,34
93,14,3,2/2/2017,26
94,21,32,2/2/2017,16
95,6,16,3/2/2017,42
96,9,45,3/2/2017,26
97,6,11,4/2/2017,27
98,15,44,4/2/2017,46
99,9,24,4/2/2017,5
100,6,47,5/2/2017,32
101,21,21,5/2/2017,50
102,14,22,6/2/2017,48
103,22,23,6/2/2017,16
104,8,19,6/2/2017,9
105,20,6,6/2/2017,40
106,23,33,6/2/2017,10
107,21,32,7/2/2017,38
108,13,37,7/2/2017,29
109,21,27,7/2/2017,3
110,5,20,7/2/2017,32
111,22,11,7/2/2017,3
112,20,50,7/2/2017,48
113,9,28,7/2/2017,12
114,21,34,8/2/2017,30
115,22,27,8/2/2017,10
116,5,49,8/2/2017,45
117,15,5,8/2/2017,28
118,13,22,9/2/2017,5
119,14,50,9/2/2017,24
120,24,49,10/2/2017,12
121,15,26,10/2/2017,11
122,6,48,10/2/2017,23
123,8,41,11/2/2017,20
124,5,6,11/2/2017,23
125,14,8,11/2/2017,19
126,6,27,11/2/2017,46
127,6,48,11/2/2017,6
128,20,17,12/2/2017,21
129,14,37,12/2/2017,14
130,6,9,12/2/2017,50
131,23,22,13/2/2017,41
132,14,38,14/2/2017,29
133,13,35,14/2/2017,2
134,9,28,15/2/2017,27
135,14,42,15/2/2017,12
136,15,20,15/2/2017,18
137,6,49,15/2/2017,20
138,9,1,16/2/2017,10
139,5,27,17/2/2017,21
140,5,38,17/2/2017,10
141,5,4,17/2/2017,5
142,22,1,17/2/2017,6
143,14,16,17/2/2017,49
144,23,16,18/2/2017,2
145,15,36,18/2/2017,24
146,9,16,18/2/2017,30
147,8,27,18/2/2017,27
148,18,43,18/2/2017,21
149,23,34,18/2/2017,29
150,20,47,19/2/2017,45
151,21,50,19/2/2017,36
152,15,9,19/2/2017,15
153,22,2,19/2/2017,25
154,23,9,19/2/2017,3
155,24,27,19/2/2017,33
156,23,4,19/2/2017,15
157,21,7,19/2/2017,33
158,20,26,19/2/2017,7
159,13,46,19/2/2017,46
160,6,13,19/2/2017,24
161,22,41,19/2/2017,21
162,20,25,19/2/2017,25
163,9,6,20/2/2017,3
164,15,8,21/2/2017,5
165,8,35,21/2/2017,3
166,18,45,21/2/2017,23
167,18,7,21/2/2017,47
168,21,46,21/2/2017,15
169,5,17,22/2/2017,14
170,8,36,22/2/2017,9
171,18,20,22/2/2017,19
172,13,20,22/2/2017,47
173,8,11,23/2/2017,14
174,21,27,24/2/2017,20
175,13,21,24/2/2017,35
176,9,3,24/2/2017,39
177,20,18,24/2/2017,25
178,23,42,24/2/2017,34
179,18,49,24/2/2017,12
180,9,27,25/2/2017,43
181,5,49,25/2/2017,4
182,8,31,26/2/2017,22
183,20,4,26/2/2017,33
184,8,50,27/2/2017,10
185,8,25,27/2/2017,45
186,15,28,27/2/2017,44
187,6,47,27/2/2017,46
188,6,33,27/2/2017,10
189,6,8,27/2/2017,13
190,23,18,27/2/2017,45
191,14,6,28/2/2017,34
192,15,15,1/3/2017,3
193,14,50,2/3/2017,18
194,24,7,2/3/2017,46
195,23,50,2/3/2017,34
196,21,29,2/3/2017,38
197,5,21,2/3/2017,34
198,23,16,2/3/2017,3
199,6,37,2/3/2017,23
200,22,11,2/3/2017,11
201,6,50,3/3/2017,24
202,8,46,3/3/2017,50
203,13,50,3/3/2017,22
204,8,20,3/3/2017,44
205,20,17,3/3/2017,4
206,8,39,4/3/2017,41
207,8,11,5/3/2017,3
208,9,1,5/3/2017,49
209,14,47,5/3/2017,43
210,20,15,5/3/2017,23
211,13,45,5/3/2017,44
212,15,44,5/3/2017,24
213,9,5,5/3/2017,35
214,8,39,5/3/2017,2
215,18,24,5/3/2017,8
216,18,44,5/3/2017,14
217,23,39,5/3/2017,32
218,15,6,5/3/2017,8
219,18,36,5/3/2017,14
220,23,8,6/3/2017,47
221,6,15,7/3/2017,39
222,9,23,7/3/2017,18
223,22,21,7/3/2017,10
224,6,6,7/3/2017,26
225,15,17,7/3/2017,25
226,5,21,7/3/2017,10
227,20,36,7/3/2017,8
228,6,4,8/3/2017,22
229,15,42,9/3/2017,35
230,6,19,10/3/2017,6
231,22,10,10/3/2017,6
232,9,30,11/3/2017,27
233,8,42,11/3/2017,41
234,9,25,11/3/2017,43
235,13,2,12/3/2017,19
236,13,25,12/3/2017,3
237,13,10,12/3/2017,47
238,14,6,12/3/2017,47
239,24,27,12/3/2017,43
240,20,44,12/3/2017,39
241,23,38,12/3/2017,18
242,6,36,13/3/2017,30
243,6,21,14/3/2017,42
244,20,44,14/3/2017,38
245,18,30,14/3/2017,47
246,5,45,14/3/2017,39
247,20,28,15/3/2017,4
248,23,49,16/3/2017,42
249,9,18,16/3/2017,11
250,20,41,16/3/2017,44
251,15,19,16/3/2017,26
252,15,42,16/3/2017,5
253,5,25,16/3/2017,20
254,20,48,17/3/2017,13
255,13,41,18/3/2017,10
256,24,43,18/3/2017,8
257,23,1,18/3/2017,30
258,15,27,18/3/2017,42
259,13,2,19/3/2017,47
260,9,17,19/3/2017,17
261,22,33,19/3/2017,22
262,6,30,20/3/2017,13
263,20,28,20/3/2017,33
264,20,1,20/3/2017,41
265,24,43,21/3/2017,41
266,20,32,21/3/2017,6
267,14,23,21/3/2017,47
268,22,27,21/3/2017,42
269,24,43,21/3/2017,18
270,15,36,22/3/2017,23
271,6,34,23/3/2017,4
272,13,29,23/3/2017,49
273,6,6,23/3/2017,40
274,6,16,24/3/2017,20
275,6,42,24/3/2017,39
276,13,10,24/3/2017,1
277,22,42,24/3/2017,30
278,9,48,24/3/2017,42
279,23,42,25/3/2017,44
280,9,45,25/3/2017,31
281,23,42,25/3/2017,46
282,15,20,26/3/2017,5
283,14,43,27/3/2017,39
284,5,44,27/3/2017,37
285,24,4,28/3/2017,48
286,6,31,28/3/2017,44
287,20,45,28/3/2017,6
288,18,42,1/4/2017,2
289,8,19,2/4/2017,20
290,24,40,2/4/2017,27
291,22,40,2/4/2017,1
292,20,11,3/4/2017,49
293,9,38,4/4/2017,11
294,14,46,5/4/2017,4
295,20,7,6/4/2017,42
296,21,44,7/4/2017,8
297,13,11,8/4/2017,9
298,8,42,8/4/2017,19
299,18,41,9/4/2017,41
300,15,19,10/4/2017,46
301,6,19,11/4/2017,19
302,18,18,12/4/2017,17
303,15,23,12/4/2017,38
304,8,19,12/4/2017,3
305,20,10,12/4/2017,37
306,5,19,12/4/2017,9
307,6,19,12/4/2017,40
308,6,29,12/4/2017,30
309,13,42,13/4/2017,16
310,9,29,13/4/2017,35
311,6,36,14/4/2017,16
312,21,39,14/4/2017,17
313,5,46,14/4/2017,9
314,24,46,14/4/2017,49
315,22,26,14/4/2017,18
316,23,17,14/4/2017,1
317,15,11,14/4/2017,14
318,13,28,14/4/2017,9
319,23,38,14/4/2017,32
320,18,23,14/4/2017,1
321,9,31,14/4/2017,33
322,8,47,14/4/2017,31
323,22,39,14/4/2017,48
324,20,27,14/4/2017,22
325,18,44,14/4/2017,28
326,13,8,14/4/2017,43
327,15,15,15/4/2017,4
328,14,12,16/4/2017,49
329,15,8,17/4/2017,42
330,15,22,17/4/2017,30
331,6,36,18/4/2017,2
332,23,41,19/4/2017,41
333,22,34,20/4/2017,50
334,15,6,21/4/2017,50
335,5,47,22/4/2017,24
336,23,46,23/4/2017,35
337,20,40,23/4/2017,6
338,6,50,23/4/2017,3
339,24,50,23/4/2017,38
340,9,45,23/4/2017,29
341,23,48,23/4/2017,46
342,20,10,23/4/2017,43
343,18,15,24/4/2017,9
344,6,4,24/4/2017,10
345,15,19,24/4/2017,7
346,9,37,24/4/2017,11
347,14,45,24/4/2017,9
348,13,1,25/4/2017,3
349,21,29,25/4/2017,41
350,23,50,26/4/2017,19
351,20,17,27/4/2017,16
352,14,40,27/4/2017,43
353,24,4,27/4/2017,43
354,21,29,27/4/2017,30
355,14,37,28/4/2017,41
356,24,8,28/4/2017,26
357,14,1,1/5/2017,15
358,22,7,2/5/2017,41
359,13,43,3/5/2017,48
360,9,33,3/5/2017,14
361,8,50,3/5/2017,37
362,21,12,3/5/2017,14
363,23,50,4/5/2017,21
364,6,32,5/5/2017,31
365,20,22,5/5/2017,19
366,13,25,6/5/2017,12
367,13,48,6/5/2017,25
368,5,14,6/5/2017,26
369,15,8,6/5/2017,30
370,22,29,7/5/2017,14
371,18,3,7/5/2017,42
372,20,7,7/5/2017,22
373,8,18,7/5/2017,11
374,14,26,7/5/2017,21
375,23,39,7/5/2017,1
376,9,30,7/5/2017,18
377,5,43,7/5/2017,25
378,6,14,7/5/2017,6
379,23,22,8/5/2017,36
380,13,46,8/5/2017,26
381,23,25,9/5/2017,15
382,18,40,9/5/2017,25
383,9,41,9/5/2017,36
384,6,42,9/5/2017,12
385,14,1,9/5/2017,13
386,13,5,9/5/2017,26
387,21,49,10/5/2017,11
388,14,41,11/5/2017,34
389,18,30,11/5/2017,24
390,15,43,12/5/2017,34
391,23,14,13/5/2017,46
392,21,27,13/5/2017,25
393,13,20,13/5/2017,20
394,14,14,13/5/2017,5
395,20,5,13/5/2017,23
396,8,13,13/5/2017,27
397,13,27,13/5/2017,27
398,20,41,13/5/2017,40
399,21,46,14/5/2017,1
400,23,20,14/5/2017,7
401,6,1,15/5/2017,23
402,5,8,15/5/2017,14
403,23,20,15/5/2017,24
404,15,24,15/5/2017,48
405,5,20,15/5/2017,8
406,6,2,15/5/2017,43
407,9,45,16/5/2017,10
408,8,24,16/5/2017,8
409,24,2,17/5/2017,20
410,6,40,17/5/2017,24
411,23,29,17/5/2017,47
412,22,3,17/5/2017,33
413,24,15,17/5/2017,34
414,21,41,17/5/2017,15
415,24,6,17/5/2017,18
416,21,47,17/5/2017,46
417,14,24,18/5/2017,7
418,6,7,18/5/2017,10
419,14,11,18/5/2017,17
420,8,38,18/5/2017,20
421,9,24,18/5/2017,6
422,13,6,18/5/2017,40
423,21,29,18/5/2017,29
424,14,19,18/5/2017,32
425,14,37,18/5/2017,22
426,18,28,18/5/2017,44
427,18,23,18/5/2017,3
428,9,18,19/5/2017,24
429,24,32,19/5/2017,31
430,14,29,19/5/2017,7
431,9,39,20/5/2017,14
432,6,23,20/5/2017,4
433,23,5,20/5/2017,18
434,22,2,21/5/2017,44
435,20,25,21/5/2017,46
436,20,14,21/5/2017,16
437,9,20,21/5/2017,50
438,21,11,21/5/2017,7
439,18,24,22/5/2017,5
440,6,9,22/5/2017,41
441,8,19,22/5/2017,19
442,24,26,22/5/2017,2
443,18,21,23/5/2017,48
444,21,3,23/5/2017,6
445,24,19,24/5/2017,49
446,5,48,24/5/2017,26
447,23,46,24/5/2017,17
448,24,21,24/5/2017,13
449,23,46,25/5/2017,33
450,14,48,25/5/2017,22
451,13,38,26/5/2017,23
452,24,30,26/5/2017,26
453,20,9,26/5/2017,16
454,24,27,27/5/2017,42
455,6,17,28/5/2017,6
456,13,41,28/5/2017,1
457,8,16,1/6/2017,33
458,22,14,1/6/2017,17
459,18,11,1/6/2017,33
460,8,1,1/6/2017,3
461,14,46,1/6/2017,31
462,8,42,1/6/2017,16
463,20,35,1/6/2017,17
464,15,7,2/6/2017,11
465,23,20,2/6/2017,2
466,9,18,3/6/2017,11
467,9,47,4/6/2017,4
468,21,39,4/6/2017,49
469,8,4,4/6/2017,26
470,24,31,4/6/2017,10
471,18,4,4/6/2017,35
472,24,24,4/6/2017,24
473,8,45,5/6/2017,13
474,8,23,5/6/2017,36
475,21,19,6/6/2017,7
476,13,21,7/6/2017,35
477,22,19,7/6/2017,14
478,20,8,7/6/2017,40
479,14,9,7/6/2017,24
480,8,13,7/6/2017,13
481,6,6,8/6/2017,9
482,14,12,8/6/2017,32
483,9,30,8/6/2017,41
484,8,48,8/6/2017,46
485,6,4,8/6/2017,41
486,14,36,8/6/2017,5
487,9,40,8/6/2017,7
488,23,21,9/6/2017,45
489,9,38,9/6/2017,37
490,21,34,9/6/2017,42
491,14,33,9/6/2017,42
492,23,42,9/6/2017,42
493,21,20,10/6/2017,45
494,20,34,10/6/2017,19
495,15,5,11/6/2017,45
496,6,38,11/6/2017,27
497,23,31,12/6/2017,33
498,9,1,12/6/2017,21
499,18,15,12/6/2017,41
500,22,22,13/6/2017,23
501,18,46,13/6/2017,40
502,20,15,13/6/2017,35
503,6,45,13/6/2017,48
504,14,3,13/6/2017,3
505,23,38,13/6/2017,22
506,21,42,13/6/2017,11
507,15,42,14/6/2017,30
508,9,8,14/6/2017,44
509,24,36,14/6/2017,5
510,9,16,14/6/2017,29
511,13,46,14/6/2017,45
512,14,32,15/6/2017,50
513,5,26,15/6/2017,42
514,22,47,15/6/2017,39
515,15,12,15/6/2017,18
516,24,50,15/6/2017,10
517,24,49,16/6/2017,30
518,9,42,17/6/2017,18
519,14,2,18/6/2017,15
520,22,12,18/6/2017,25
521,20,50,18/6/2017,27
522,21,14,18/6/2017,21
523,18,49,18/6/2017,8
524,20,36,18/6/2017,37
525,20,35,18/6/2017,27
526,8,4,18/6/2017,34
527,14,39,19/6/2017,18
528,18,5,19/6/2017,9
529,22,9,20/6/2017,48
530,14,46,20/6/2017,46
531,20,40,21/6/2017,44
532,24,17,22/6/2017,30
533,18,47,22/6/2017,21
534,22,42,23/6/2017,24
535,20,16,23/6/2017,23
536,15,37,24/6/2017,13
537,20,36,24/6/2017,8
538,24,37,24/6/2017,34
539,23,50,25/6/2017,27
540,23,36,25/6/2017,32
541,18,44,26/6/2017,34
542,22,15,26/6/2017,39
543,21,46,26/6/2017,5
544,6,30,26/6/2017,17
545,23,14,27/6/2017,25
546,24,32,28/6/2017,19
547,8,6,1/7/2017,2
548,18,44,1/7/2017,42
549,14,37,2/7/2017,25
550,14,1,2/7/2017,7
551,18,27,2/7/2017,18
552,21,21,3/7/2017,38
553,9,43,3/7/2017,11
554,21,27,4/7/2017,3
555,18,37,4/7/2017,2
556,21,37,4/7/2017,36
557,8,13,4/7/2017,16
558,24,37,4/7/2017,26
559,21,6,4/7/2017,7
560,23,18,5/7/2017,28
561,23,17,5/7/2017,50
562,13,31,6/7/2017,29
563,18,36,6/7/2017,40
564,8,18,6/7/2017,38
565,23,9,7/7/2017,3
566,9,39,7/7/2017,14
567,18,49,7/7/2017,45
568,23,27,7/7/2017,48
569,9,31,7/7/2017,34
570,20,38,7/7/2017,34
571,18,5,7/7/2017,49
572,23,15,7/7/2017,23
573,15,9,7/7/2017,42
574,8,49,8/7/2017,46
575,13,2,9/7/2017,21
576,14,7,9/7/2017,35
577,23,32,9/7/2017,35
578,5,7,9/7/2017,43
579,5,6,9/7/2017,43
580,24,41,10/7/2017,43
581,8,23,10/7/2017,32
582,5,48,10/7/2017,20
583,15,11,11/7/2017,27
584,9,35,11/7/2017,44
585,13,18,11/7/2017,6
586,9,40,11/7/2017,35
587,24,13,11/7/2017,38
588,15,31,11/7/2017,10
589,6,50,11/7/2017,41
590,22,32,11/7/2017,17
591,22,5,12/7/2017,46
592,8,46,12/7/2017,2
593,21,15,13/7/2017,30
594,9,17,13/7/2017,45
595,21,10,13/7/2017,10
596,14,27,13/7/2017,18
597,22,28,13/7/2017,35
598,5,36,14/7/2017,21
599,8,43,14/7/2017,38
600,9,31,14/7/2017,20
601,6,36,15/7/2017,30
602,5,36,15/7/2017,31
603,24,17,15/7/2017,7
604,20,41,15/7/2017,25
605,13,45,15/7/2017,14
606,6,48,15/7/2017,12
607,15,17,15/7/2017,34
608,20,38,16/7/2017,37
609,20,48,16/7/2017,5
610,15,18,17/7/2017,28
611,6,11,17/7/2017,35
612,14,43,18/7/2017,35
613,20,22,18/7/2017,21
614,15,4,18/7/2017,24
615,23,26,19/7/2017,31
616,24,29,20/7/2017,20
617,13,49,20/7/2017,29
618,5,7,21/7/2017,31
619,24,41,21/7/2017,27
620,15,20,22/7/2017,12
621,8,8,22/7/2017,1
622,23,45,22/7/2017,25
623,5,36,23/7/2017,20
624,9,39,23/7/2017,45
625,20,31,23/7/2017,26
626,18,44,23/7/2017,45
627,23,43,24/7/2017,28
628,23,10,25/7/2017,49
629,22,31,25/7/2017,2
630,5,22,25/7/2017,35
631,14,38,25/7/2017,3
632,13,20,26/7/2017,49
633,9,44,27/7/2017,28
634,23,42,28/7/2017,32
635,8,10,28/7/2017,43
636,5,4,28/7/2017,26
637,9,2,28/7/2017,9
638,24,24,28/7/2017,27
639,8,28,28/7/2017,33
640,18,18,1/8/2017,27
641,21,3,2/8/2017,50
642,18,20,2/8/2017,4
643,13,31,2/8/2017,27
644,15,1,2/8/2017,44
645,15,20,2/8/2017,26
646,18,36,2/8/2017,2
647,18,7,2/8/2017,49
648,5,17,2/8/2017,36
649,15,36,2/8/2017,43
650,9,31,2/8/2017,24
651,5,2,2/8/2017,46
652,14,18,3/8/2017,2
653,9,28,4/8/2017,25
654,15,2,5/8/2017,8
655,6,47,5/8/2017,34
656,21,6,5/8/2017,41
657,15,37,6/8/2017,19
658,23,33,7/8/2017,3
659,8,41,8/8/2017,14
660,20,9,8/8/2017,44
661,24,23,8/8/2017,33
662,15,26,8/8/2017,18
663,5,32,8/8/2017,9
664,21,31,9/8/2017,36
665,14,42,9/8/2017,1
666,13,37,9/8/2017,27
667,13,4,10/8/2017,49
668,9,44,11/8/2017,31
669,8,37,12/8/2017,9
670,6,28,13/8/2017,6
671,9,29,13/8/2017,23
672,22,14,14/8/2017,24
673,24,10,15/8/2017,45
674,18,2,15/8/2017,50
675,6,24,16/8/2017,48
676,8,41,16/8/2017,9
677,24,29,16/8/2017,49
678,18,32,16/8/2017,30
679,6,16,16/8/2017,22
680,21,12,16/8/2017,49
681,24,31,17/8/2017,22
682,15,23,17/8/2017,16
683,18,17,17/8/2017,30
684,14,16,17/8/2017,37
685,18,37,17/8/2017,30
686,18,19,17/8/2017,31
687,6,18,17/8/2017,14
688,21,19,17/8/2017,43
689,15,18,18/8/2017,1
690,13,49,18/8/2017,36
691,13,40,18/8/2017,20
692,14,43,19/8/2017,43
693,15,50,20/8/2017,16
694,23,29,21/8/2017,50
695,9,22,22/8/2017,43
696,13,22,23/8/2017,36
697,15,49,23/8/2017,37
698,9,44,24/8/2017,39
699,20,24,24/8/2017,4
700,9,32,25/8/2017,35
701,15,11,25/8/2017,11
702,24,37,25/8/2017,1
703,6,26,25/8/2017,18
704,8,28,26/8/2017,39
705,13,24,26/8/2017,23
706,13,41,26/8/2017,40
707,15,32,27/8/2017,23
708,5,32,27/8/2017,41
709,18,6,27/8/2017,12
710,24,27,27/8/2017,33
711,18,6,27/8/2017,7
712,5,50,27/8/2017,27
713,21,33,27/8/2017,3
714,13,50,27/8/2017,9
715,22,46,28/8/2017,32
716,14,11,1/9/2017,28
717,20,12,1/9/2017,45
718,18,39,1/9/2017,44
719,20,7,1/9/2017,1
720,14,49,1/9/2017,29
721,14,38,1/9/2017,18
722,5,1,1/9/2017,10
723,20,5,1/9/2017,38
724,15,17,2/9/2017,47
725,8,9,2/9/2017,19
726,18,11,2/9/2017,17
727,6,38,2/9/2017,21
728,24,18,2/9/2017,3
729,20,18,2/9/2017,19
730,14,24,2/9/2017,20
731,15,45,2/9/2017,40
732,23,15,2/9/2017,17
733,18,40,3/9/2017,9
734,20,49,4/9/2017,25
735,18,29,4/9/2017,42
736,6,29,4/9/2017,21
737,24,48,4/9/2017,42
738,9,10,4/9/2017,43
739,23,1,5/9/2017,34
740,22,37,5/9/2017,5
741,21,28,5/9/2017,17
742,15,6,5/9/2017,26
743,6,10,5/9/2017,36
744,20,15,6/9/2017,44
745,22,10,6/9/2017,38
746,24,6,6/9/2017,9
747,21,21,7/9/2017,7
748,5,31,7/9/2017,32
749,21,2,8/9/2017,18
750,9,27,8/9/2017,50
751,21,41,9/9/2017,27
752,5,31,9/9/2017,33
753,24,4,9/9/2017,24
754,18,35,9/9/2017,23
755,14,17,9/9/2017,14
756,13,7,10/9/2017,26
757,22,11,10/9/2017,36
758,20,24,11/9/2017,28
759,8,13,11/9/2017,35
760,9,3,11/9/2017,14
761,22,48,12/9/2017,15
762,5,12,12/9/2017,39
763,5,15,12/9/2017,45
764,5,10,12/9/2017,38
765,15,12,13/9/2017,18
766,14,17,13/9/2017,9
767,20,20,14/9/2017,30
768,23,31,14/9/2017,15
769,14,33,15/9/2017,18
770,14,17,15/9/2017,16
771,8,22,15/9/2017,17
772,15,28,15/9/2017,25
773,9,23,15/9/2017,41
774,15,40,15/9/2017,21
775,23,32,15/9/2017,25
776,24,45,15/9/2017,2
777,15,37,15/9/2017,18
778,6,45,15/9/2017,2
779,9,33,15/9/2017,11
780,20,35,15/9/2017,27
781,20,25,16/9/2017,23
782,5,42,17/9/2017,31
783,23,41,17/9/2017,24
784,18,25,18/9/2017,32
785,15,21,19/9/2017,26
786,22,8,19/9/2017,13
787,22,28,19/9/2017,33
788,15,12,19/9/2017,13
789,23,7,19/9/2017,45
790,18,31,19/9/2017,3
791,13,26,19/9/2017,21
792,24,23,19/9/2017,20
793,14,14,19/9/2017,8
794,24,28,19/9/2017,6
795,23,39,19/9/2017,39
796,18,17,19/9/2017,17
797,24,28,19/9/2017,25
798,23,12,19/9/2017,50
799,14,46,19/9/2017,12
800,22,22,19/9/2017,14
801,21,15,19/9/2017,45
802,5,26,19/9/2017,22
803,5,10,19/9/2017,34
804,18,24,19/9/2017,39
805,21,30,19/9/2017,3
806,14,42,20/9/2017,14
807,15,16,21/9/2017,4
808,24,14,21/9/2017,27
809,24,45,22/9/2017,27
810,15,5,22/9/2017,28
811,8,15,22/9/2017,49
812,23,12,22/9/2017,2
813,8,26,23/9/2017,4
814,9,47,24/9/2017,45
815,24,21,24/9/2017,43
816,22,39,24/9/2017,28
817,23,45,24/9/2017,24
818,23,13,24/9/2017,16
819,14,11,24/9/2017,29
820,5,4,24/9/2017,49
821,18,30,25/9/2017,46
822,8,38,25/9/2017,42
823,13,25,25/9/2017,17
824,5,33,25/9/2017,38
825,21,34,25/9/2017,36
826,24,26,25/9/2017,17
827,13,37,26/9/2017,24
828,21,49,27/9/2017,41
829,5,12,28/9/2017,32
830,14,14,1/10/2017,12
831,14,18,1/10/2017,26
832,9,24,1/10/2017,19
833,13,4,1/10/2017,18
834,22,19,1/10/2017,33
835,5,36,1/10/2017,47
836,23,45,2/10/2017,19
837,22,41,2/10/2017,39
838,15,28,2/10/2017,26
839,8,2,2/10/2017,44
840,18,47,3/10/2017,3
841,20,34,4/10/2017,21
842,6,16,4/10/2017,1
843,24,39,4/10/2017,24
844,15,8,4/10/2017,28
845,5,11,4/10/2017,5
846,18,25,5/10/2017,32
847,15,19,5/10/2017,4
848,13,4,6/10/2017,4
849,9,2,7/10/2017,32
850,23,24,7/10/2017,44
851,6,26,8/10/2017,33
852,14,44,8/10/2017,30
853,18,11,8/10/2017,42
854,23,26,8/10/2017,20
855,5,37,8/10/2017,13
856,15,8,9/10/2017,5
857,21,11,10/10/2017,27
858,22,10,10/10/2017,48
859,22,4,10/10/2017,26
860,15,27,10/10/2017,9
861,13,45,10/10/2017,50
862,23,37,10/10/2017,13
863,20,20,10/10/2017,31
864,24,2,11/10/2017,4
865,13,39,11/10/2017,38
866,9,31,12/10/2017,5
867,24,12,13/10/2017,29
868,5,3,14/10/2017,12
869,8,37,14/10/2017,36
870,23,38,14/10/2017,28
871,9,34,14/10/2017,21
872,9,41,14/10/2017,28
873,15,17,15/10/2017,36
874,15,36,15/10/2017,48
875,24,14,15/10/2017,1
876,23,50,16/10/2017,6
877,22,26,16/10/2017,44
878,24,39,16/10/2017,14
879,15,29,16/10/2017,3
880,15,28,16/10/2017,5
881,14,33,16/10/2017,14
882,21,16,17/10/2017,43
883,23,49,17/10/2017,22
884,5,17,17/10/2017,23
885,24,18,18/10/2017,13
886,18,25,18/10/2017,25
887,9,50,19/10/2017,14
888,13,20,20/10/2017,13
889,13,17,21/10/2017,5
890,20,5,21/10/2017,7
891,22,35,21/10/2017,45
892,9,39,22/10/2017,50
893,22,26,22/10/2017,36
894,18,9,23/10/2017,21
895,24,29,24/10/2017,9
896,6,26,24/10/2017,25
897,6,1,24/10/2017,44
898,21,37,24/10/2017,6
899,24,34,24/10/2017,47
900,13,21,25/10/2017,28
901,5,41,25/10/2017,3
902,14,46,25/10/2017,33
903,13,40,26/10/2017,41
904,20,22,26/10/2017,40
905,20,40,27/10/2017,2
906,6,15,28/10/2017,16
907,23,20,28/10/2017,46
908,24,12,1/11/2017,18
909,5,42,1/11/2017,38
910,13,30,1/11/2017,5
911,13,45,2/11/2017,15
912,23,27,2/11/2017,1
913,21,47,3/11/2017,10
914,20,10,3/11/2017,26
915,22,7,3/11/2017,22
916,18,19,3/11/2017,8
917,18,28,4/11/2017,21
918,24,43,4/11/2017,27
919,8,46,4/11/2017,37
920,8,37,5/11/2017,35
921,24,46,5/11/2017,50
922,9,32,5/11/2017,18
923,20,17,6/11/2017,44
924,9,43,7/11/2017,47
925,23,28,7/11/2017,24
926,21,16,7/11/2017,48
927,8,34,8/11/2017,24
928,6,18,8/11/2017,14
